"原文","翻译"
In and out data, 出入库数据
"Deleted all documents successfully", 已成功删除所有文档
"Login to SULADA", 登录进入苏拉达
"Page Saved Successfully", 定制页面保存成功，刷新缓存后生效
"Customizations Discarded", 已放弃定制，定制不会生效
"Report initiated, click to view status", 报表正在生成中，请稍等
"No Stock Available Currently", 目前无库存
"Parent ltem Group", 系列
Delivery Note has been submitted successfully,送货单已成功提交
Purchase Receipt has been submitted successfully,采购收据已成功提交
"Purchase Receipt has been submitted successfully", "采购收据已成功提交号"
No changes made on the page, 页面未发生任何更改
颜色列表,Color List
生成日期,Generated Date
序号,No.
颜色名称,Color Name
简称,Short Name
备注,Remarks
黑色,Black
棕色,Brown
红色,Red
蓝色,Blue
橙色,Orange
绿色,Green
白色,White
透明,Transparent
银色,Silver
金色,Gold
紫色,Purple
灰色,Gray
青色,Cyan
远峰蓝,Sierra Blue
粉色,Pink
咖/棕,Coffee/Brown
彩色,Colorful
新金色,Rose Gold
真机绿,Alpine Green
日落,Sunset
月升,Moonrise
深棕,Dark Brown
浅棕,Light Brown
